Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;0;1;0;0;1;15;0;2;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;1;10;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;0;1;0;0;1;20;0;1;4;0;15;0;4;0;none;none;none;none;none;none
0.0;0;1;0;0;2;46;0;2;2;0;13;0;2;0;none;none;none;none;none;none
0.0;0;1;0;0;1;8;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;2;30;0;2;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;_;0;0;1;19;0;1;0;0;11;0;0;0;none;none;none;none;none;none
3.0;3;1;1;0;2;157;0;6;8;0;20;0;800;0;none;none;none;none;none;none
0.0;0;1;0;0;1;14;0;1;3;0;14;0;3;0;none;none;none;none;none;none
0.0;0;1;0;0;1;33;0;1;7;0;18;0;7;85;none;none;none;none;none;none
0.0;0;1;0;0;1;14;0;1;3;0;14;0;3;0;none;none;none;none;none;none
0.0;0;1;0;0;1;11;0;1;2;0;14;0;2;50;none;none;none;none;none;none
0.0;0;1;0;0;1;14;0;1;3;0;15;0;3;66;none;none;none;none;none;none
2.0;3;2;0;0;2;193;0;6;6;0;20;0;6;66;none;none;none;none;none;none
0.0;0;1;0;0;1;15;0;1;3;0;14;0;3;66;none;none;none;none;none;none
0.0;0;2;0;0;2;35;0;1;7;0;22;0;7;76;none;none;none;none;none;none
0.0;2;1;0;0;1;18;0;1;4;0;16;1;4;0;none;none;none;none;none;none
0.0;2;1;0;0;2;18;0;1;4;0;20;1;4;0;none;none;none;none;none;none
0.0;2;1;0;0;3;22;0;1;5;0;25;1;5;0;none;none;none;none;none;none
0.0;2;1;0;0;2;127;0;5;10;0;25;1;10;65;none;none;none;none;none;none
0.0;2;1;0;0;1;14;0;1;1;0;13;1;1;0;none;none;none;none;none;none
0.0;2;1;0;0;1;14;0;1;3;0;15;1;3;0;none;none;none;none;none;none
0.0;2;1;0;0;1;15;0;1;1;0;13;1;1;0;none;none;none;none;none;none
0.0;2;1;0;0;1;15;0;1;3;0;15;1;3;0;none;none;none;none;none;none
0.0;0;1;0;0;2;41;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;3;1;0;0;2;746;0;11;21;0;36;0;21;85;none;none;none;none;none;none
0.0;2;1;0;0;1;61;0;2;1;0;15;2;1;0;none;none;none;none;none;none
0.0;1;1;0;0;1;40;0;1;2;0;14;1;2;0;none;none;none;none;none;none
0.0;1;1;0;0;2;16;0;1;0;0;14;1;0;0;none;none;none;none;none;none
0.0;2;1;0;0;1;49;0;2;1;0;15;2;1;0;none;none;none;none;none;none
0.0;1;1;0;0;1;29;0;1;2;0;14;1;2;0;none;none;none;none;none;none
0.0;1;1;0;0;1;36;0;1;2;0;14;1;2;0;none;none;none;none;none;none
0.0;0;_;0;0;1;65;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;2;1;0;0;1;58;0;2;3;0;17;2;3;0;none;none;none;none;none;none
0.0;1;1;0;0;1;40;0;1;2;0;14;1;2;0;none;none;none;none;none;none
0.0;1;1;0;0;3;5;0;1;0;0;14;1;0;0;none;none;none;none;none;none
3.0;4;1;0;0;2;567;0;17;17;0;30;1;17;0;none;none;none;none;none;none
0.0;0;_;0;0;1;6;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;11;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;11;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;1;_;0;0;1;11;0;1;0;0;11;0;0;100;none;none;none;none;none;none
0.0;0;_;0;0;1;16;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;47;0;2;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;24;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;1;61;0;1;12;0;23;0;12;91;none;none;none;none;none;none
0.0;0;1;0;0;1;11;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;_;0;0;1;10;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;2;12;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;27;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;38;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;1;1;0;0;1;24;0;1;1;0;12;0;1;19;none;none;none;none;none;none
0.0;1;_;0;0;1;9;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;10;0;1;0;0;11;0;0;0;none;none;none;none;none;none
1.0;2;1;0;0;1;35;0;3;2;0;15;1;2;0;none;none;none;none;none;none
1.0;2;1;0;0;2;11;0;1;2;0;17;1;2;0;none;none;none;none;none;none
1.0;2;1;0;0;3;12;0;1;2;0;19;1;2;0;none;none;none;none;none;none
1.0;2;1;0;0;1;9;0;1;1;0;14;1;1;0;none;none;none;none;none;none
0.0;1;1;0;0;0;61;0;1;5;0;8;1;5;83;none;Feature Envy;none;none;none;none
1.0;2;1;2;0;2;14;0;1;3;0;19;1;150;0;none;none;none;none;none;none
1.0;2;1;2;0;2;14;0;1;3;0;19;1;150;0;none;none;none;none;none;none
0.0;0;_;0;0;1;21;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;0;34;0;3;0;0;0;0;0;0;none;none;none;none;none;none
1.0;2;1;0;0;2;16;0;1;2;0;16;1;2;0;none;none;none;none;none;none
1.0;2;1;0;0;2;16;0;1;2;0;16;1;2;0;none;none;none;none;none;none
1.0;2;1;2;0;1;18;0;1;4;0;16;1;200;0;none;none;none;none;none;none
0.0;2;1;0;0;1;40;0;2;3;0;16;1;3;95;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;1;1;0;0;1;184;0;10;14;0;27;1;14;0;none;none;none;none;none;none
0.0;0;_;0;0;1;3;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;3;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;4;0;2;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;2;1;0;0;2;28;0;1;8;0;19;0;8;0;none;none;none;none;none;none
0.0;0;1;0;0;1;8;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;0;1;0;0;1;8;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;0;1;0;0;1;8;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;0;1;0;0;1;8;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;2;1;0;0;1;79;0;1;13;0;24;0;13;0;none;none;none;none;none;none
0.0;0;1;0;0;1;15;0;1;4;0;15;0;4;_;none;none;none;none;none;none
0.0;0;1;0;0;1;18;0;1;4;0;15;0;4;_;none;none;none;none;none;none
0.0;0;1;0;0;1;23;0;1;7;0;18;0;7;_;none;none;none;none;none;none
0.0;6;1;5;0;1;49;0;4;6;0;22;1;120;60;Refused Bequest;none;none;none;none;none
0.0;0;1;0;0;2;12;0;1;0;0;17;0;0;0;none;none;none;none;none;none
