Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;1;1;6;0;6;24;0;1;6;0;216;0;100;100;none;none;none;none;none;none
0.0;1;1;18;0;6;60;0;1;18;0;240;0;100;100;none;none;none;none;none;none
2.0;10;3;2;0;3;22;0;1;2;0;41;4;100;50;none;none;none;none;none;none
0.0;1;1;14;0;6;48;0;1;14;0;232;0;100;100;none;none;none;none;none;none
1.0;8;3;1;0;6;69;0;1;1;0;290;4;100;66;Refused Bequest;none;none;none;none;none
0.0;2;2;6;0;5;45;0;1;10;0;210;1;167;100;none;none;none;none;none;none
0.0;1;1;6;0;6;24;0;1;6;0;216;0;100;100;none;none;none;none;none;none
0.0;1;1;8;0;6;30;0;1;8;0;220;0;100;100;none;none;none;none;none;none
0.0;1;1;12;0;6;42;0;1;12;0;228;0;100;100;none;none;none;none;none;none
0.0;1;1;4;0;6;18;0;1;4;0;212;0;100;100;none;none;none;none;none;none
0.0;1;1;6;0;6;24;0;1;6;0;216;0;100;100;none;none;none;none;none;none
0.0;1;1;22;0;6;72;0;1;22;0;248;0;100;100;none;none;none;none;none;none
0.0;1;1;24;0;6;78;0;1;24;0;252;0;100;100;none;none;none;none;none;none
0.0;1;1;14;0;6;48;0;1;14;0;232;0;100;100;none;none;none;none;none;none
0.0;1;1;4;0;6;18;0;1;4;0;212;0;100;100;none;none;none;none;none;none
0.0;1;1;6;0;6;24;0;1;6;0;216;0;100;100;none;none;none;none;none;none
0.0;1;1;8;0;6;30;0;1;8;0;220;0;100;100;none;none;none;none;none;none
0.0;1;1;12;0;6;42;0;1;12;0;228;0;100;100;none;none;none;none;none;none
0.0;1;1;10;0;6;36;0;1;10;0;224;0;100;100;none;none;none;none;none;none
0.0;1;1;8;0;6;30;0;1;8;0;220;0;100;100;none;none;none;none;none;none
