Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;1;2;3;0;1;35;1;1;3;0;18;0;67;0;none;none;none;none;none;none
0.0;10;6;9;0;2;137;0;1;10;0;77;3;111;61;none;none;none;none;none;none
0.0;1;1;1;2;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;6;1;5;0;0;30;0;1;5;0;27;0;100;16;none;none;none;none;none;none
0.0;6;1;5;0;0;32;0;1;5;0;27;0;100;28;none;none;none;none;none;none
0.0;7;1;5;0;0;36;0;1;5;0;27;0;100;37;none;none;none;none;none;none
0.0;6;1;5;0;0;32;0;1;5;0;27;0;100;28;none;none;none;none;none;none
0.0;6;1;5;0;0;30;0;1;5;0;27;0;100;16;none;none;none;none;none;none
0.0;6;1;5;0;0;30;0;1;5;0;27;0;100;16;none;none;none;none;none;none
0.0;6;1;5;0;0;32;0;1;5;0;27;0;100;28;none;none;none;none;none;none
0.0;1;1;1;0;0;10;0;1;1;0;2;1;100;0;none;none;none;none;none;none
0.0;1;1;1;0;0;10;0;1;1;0;2;1;100;0;none;none;none;none;none;none
0.0;1;1;1;0;0;11;0;1;1;0;2;1;100;0;none;none;none;none;none;none
0.0;1;1;1;0;0;16;0;1;1;0;2;1;100;0;none;none;none;none;none;none
0.0;1;1;1;0;0;10;0;1;1;0;2;1;100;0;none;none;none;none;none;none
0.0;1;1;1;0;0;10;0;1;1;0;2;1;100;0;none;none;none;none;none;none
0.0;1;1;1;0;0;15;0;1;1;0;2;1;100;0;none;none;none;none;none;none
2.0;12;2;23;0;1;154;0;1;24;0;77;4;104;84;none;none;none;none;none;none
1.0;10;5;10;508;1;155;0;1;13;0;48;4;130;82;none;none;none;none;none;none
0.0;0;1;4;0;1;10;0;1;4;0;19;0;100;0;none;none;none;none;none;none
0.0;2;7;5;0;1;66;0;1;7;0;31;1;140;42;none;Feature Envy;none;none;none;none
0.0;0;1;4;2;0;6;0;1;4;0;4;0;100;0;none;none;none;none;none;none
0.0;10;5;9;1;1;244;0;5;10;0;79;5;111;80;none;none;none;none;none;none
0.0;4;3;4;1;2;61;0;1;8;0;37;2;200;50;none;none;none;none;none;none
0.0;2;1;2;1;5;34;0;1;4;0;151;1;200;43;none;none;none;none;none;none
