Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;2;6;2;0;4;57;0;1;2;0;43;2;100;70;none;none;none;none;none;none
3.0;9;12;14;0;5;568;3;10;16;0;84;0;93;90;none;none;none;none;none;none
0.0;0;4;4;1;0;35;0;1;6;0;7;0;150;83;none;none;none;none;none;none
1.0;2;3;1;0;3;18;0;1;1;0;39;0;100;50;none;none;none;none;none;none
0.0;1;9;1;0;3;71;0;1;1;0;39;0;100;25;none;none;none;none;none;none
0.0;0;5;4;1;0;41;0;1;6;0;7;0;150;83;none;none;none;none;none;none
0.0;1;9;2;0;3;99;0;1;2;0;40;0;100;55;none;none;none;none;none;none
1.0;2;12;1;1;3;69;0;1;1;0;40;0;100;25;none;none;none;none;none;none
1.0;2;2;1;0;3;20;0;1;1;0;39;0;100;0;none;none;none;none;none;none
0.0;1;4;1;0;3;30;0;1;1;0;39;0;100;25;none;none;none;none;none;none
0.0;1;3;14;1;2;66;0;1;14;0;39;1;100;78;none;none;none;none;none;none
1.0;1;6;4;0;5;93;0;1;8;0;51;1;200;83;none;none;none;none;none;none
0.0;3;8;5;0;5;88;1;2;8;0;57;0;140;80;none;none;none;none;none;none
0.0;0;1;2;1;1;9;1;1;2;0;13;0;50;0;none;none;none;none;none;none
0.0;1;8;5;0;5;95;1;1;6;0;49;0;100;81;none;none;none;none;none;none
0.0;0;2;2;0;1;12;0;1;2;0;6;0;100;0;none;none;none;none;none;none
0.0;1;7;3;0;5;64;0;1;5;0;48;0;167;71;none;none;none;none;none;none
1.0;6;12;5;0;5;170;0;2;11;0;67;2;220;86;none;none;none;none;none;none
0.0;0;1;4;1;1;16;2;1;4;0;15;0;50;50;none;none;none;none;none;none
0.0;7;8;7;0;5;127;2;1;9;0;64;3;100;83;none;none;none;none;none;none
0.0;1;1;0;0;0;8;0;1;0;0;1;0;0;0;none;none;none;none;none;none
1.0;1;13;2;0;4;62;0;1;2;0;41;0;100;75;none;none;none;none;none;none
1.0;1;5;3;0;5;55;0;1;5;0;46;0;167;76;none;none;none;none;none;none
0.0;3;9;3;0;5;89;0;2;6;0;57;0;200;70;none;none;none;none;none;none
0.0;0;2;3;1;1;15;1;1;3;0;15;0;67;33;none;none;none;none;none;none
0.0;1;9;3;0;5;73;0;1;5;0;50;0;167;71;none;none;none;none;none;none
1.0;1;5;3;0;5;57;0;1;5;0;46;1;167;78;none;none;none;none;none;none
1.0;2;12;4;0;5;108;0;1;8;0;56;1;200;85;none;none;none;none;none;none
1.0;13;10;15;0;4;321;0;12;15;0;76;2;100;81;none;none;none;none;none;none
0.0;3;2;2;0;0;15;0;1;2;0;7;0;100;0;none;none;none;none;none;none
0.0;1;4;4;0;1;47;0;1;5;0;10;1;125;65;none;none;none;none;none;none
0.0;0;3;2;0;0;16;0;1;2;0;4;0;100;0;none;none;none;none;none;none
1.0;3;4;3;0;0;41;0;1;4;0;14;1;133;50;none;none;none;none;none;none
0.0;0;_;0;0;0;3;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;0;2;1;0;1;8;0;1;1;0;7;0;100;0;none;none;none;none;none;none
0.0;1;4;4;0;1;44;0;1;5;0;10;1;125;65;none;none;none;none;none;none
0.0;0;6;3;0;1;32;0;1;3;0;14;0;100;33;none;none;none;none;none;none
0.0;0;_;0;0;0;3;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;1;0;1;5;0;1;1;0;6;0;100;0;none;none;none;none;none;none
0.0;0;2;1;0;1;10;0;1;1;0;6;0;100;0;none;none;none;none;none;none
0.0;2;3;5;0;1;158;0;1;4;2;15;0;80;82;none;none;none;none;none;none
0.0;2;5;1;0;1;28;0;1;1;0;22;0;100;0;none;none;none;none;none;none
0.0;9;2;17;1;1;152;7;1;17;0;42;1;59;91;none;none;none;none;none;none
0.0;1;_;0;0;1;24;0;1;0;0;11;0;0;50;none;none;none;none;none;none
0.0;1;_;0;0;1;29;0;1;0;0;11;0;0;50;none;none;none;none;none;none
0.0;5;29;1;0;0;643;0;7;8;0;58;0;800;85;Refused Bequest;none;none;none;none;Shotgun Surgery
0.0;3;2;5;1;1;24;0;1;6;0;22;0;120;0;none;none;none;none;none;none
1.0;4;9;4;0;2;70;0;1;4;0;33;0;100;0;none;none;none;none;none;none
1.0;4;3;1;0;2;15;0;1;1;0;21;0;100;0;none;none;none;none;none;none
1.0;7;26;2;0;2;118;0;1;2;0;39;0;100;0;none;none;none;none;none;none
0.0;11;3;8;0;2;65;1;1;8;0;74;0;88;40;none;none;none;none;none;none
1.0;4;29;3;0;2;152;0;1;4;0;32;1;133;0;none;none;none;none;none;none
0.0;4;12;0;0;0;413;0;9;1;0;29;0;1;71;none;none;none;none;none;none
1.0;5;2;3;0;2;21;0;1;3;0;47;1;100;25;none;none;none;none;none;none
2.0;4;2;3;0;3;29;0;1;3;0;47;1;100;33;none;none;none;none;none;none
0.0;1;2;1;0;3;15;0;1;1;0;44;0;100;0;none;none;none;none;none;none
3.0;5;2;3;1;3;54;0;1;3;0;49;1;100;44;none;none;none;none;none;none
1.0;5;12;2;1;3;66;0;1;3;0;55;0;150;0;none;none;none;none;none;none
1.0;9;3;3;0;2;39;0;1;3;0;54;0;100;0;none;none;none;none;none;none
1.0;3;12;2;1;3;58;0;1;2;0;50;0;100;33;none;none;none;none;none;none
1.0;4;3;3;1;3;47;0;1;3;0;47;1;100;40;none;none;none;none;none;none
0.0;0;_;0;0;1;10;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;3;7;0;0;1;64;0;1;2;0;21;2;2;0;none;none;none;none;none;none
0.0;0;1;0;0;2;36;0;1;0;0;13;0;0;0;Refused Bequest;none;none;none;none;none
0.0;0;_;0;0;0;4;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;2;6;2;1;29;3;1;6;0;18;0;50;71;none;none;none;none;none;none
0.0;3;2;2;1;2;16;0;1;2;0;24;2;100;0;none;none;none;none;none;none
0.0;1;1;1;0;1;36;0;1;0;0;11;0;0;50;none;none;none;none;none;none
