Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;12;7;13;15;1;162;0;1;17;0;48;4;131;73;none;Feature Envy;none;none;none;none
0.0;1;4;4;1;2;33;0;1;4;0;28;0;100;75;none;none;none;none;none;none
0.0;3;1;8;21;0;10;0;1;8;0;8;0;100;0;none;Feature Envy;none;none;none;none
0.0;7;7;5;0;2;65;0;1;7;0;39;2;140;85;none;none;none;none;none;none
0.0;2;6;9;1;2;54;0;1;9;0;33;0;100;72;none;none;none;none;none;none
0.0;3;7;11;0;2;75;0;1;11;0;36;1;100;65;none;none;none;none;none;none
0.0;7;7;5;0;2;65;0;1;7;0;39;2;140;85;none;none;none;none;none;none
0.0;8;3;10;4;1;60;0;1;10;0;42;4;100;50;none;none;none;none;none;none
0.0;1;1;0;0;2;7;0;1;0;0;24;0;0;100;none;none;none;none;none;none
0.0;7;7;5;0;2;65;0;1;7;0;39;2;140;85;none;none;none;none;none;none
0.0;1;5;3;0;2;32;0;1;3;0;27;0;100;50;none;none;none;none;none;none
0.0;2;5;8;0;2;52;0;1;8;0;32;0;100;69;none;none;none;none;none;none
0.0;2;1;1;0;3;11;0;1;1;0;19;1;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;3;10;0;1;1;0;18;0;100;0;none;Feature Envy;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;12;0;100;0;none;none;none;none;none;none
1.0;2;1;4;4;2;28;0;1;4;0;17;0;100;57;Refused Bequest;none;none;none;none;none
0.0;1;4;6;4;1;44;0;1;4;0;17;0;67;72;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;1;1;8;1;2;32;0;1;6;0;19;0;75;74;Refused Bequest;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;1;1;1;0;3;10;0;1;1;0;18;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;2;5;0;1;0;0;13;0;0;0;Refused Bequest;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;1;1;1;0;3;10;0;1;1;0;18;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;0;1;2;1;3;19;0;1;2;0;19;0;100;50;none;none;none;none;none;none
0.0;1;1;1;2;0;3;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;1;1;1;0;3;10;0;1;1;0;18;0;100;0;none;Feature Envy;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;1;1;1;0;1;18;0;1;1;0;14;1;100;33;none;none;none;none;none;none
0.0;11;8;7;4;1;115;0;1;7;0;36;3;100;0;none;none;none;none;none;none
0.0;1;1;1;0;1;11;0;1;1;0;14;1;100;0;none;none;none;none;none;none
0.0;1;1;1;0;1;10;0;1;1;0;14;1;100;0;none;none;none;none;none;none
0.0;0;1;1;0;1;9;0;1;1;0;13;0;100;0;none;none;none;none;none;none
0.0;0;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;0;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;10;6;8;5;1;121;0;1;10;0;36;8;125;64;none;none;none;none;none;none
0.0;8;6;6;2;1;92;0;1;8;0;31;7;133;52;none;none;none;none;none;none
0.0;8;9;10;6;1;142;0;1;11;0;39;5;110;69;none;Feature Envy;none;none;none;none
